148.8,90.213,90,79.4,2.699,8.334,77.9,4.517,4.609,6.802,13.551,9.05905,119.116,11.13,166.533,164.781,10.421,142.229,187.576,160,159,60.64725,4.16276,0,0,0,23,1,,,,,
72.8,37.698,35.3,37.6,1.059,5.864,64.2,2.058,3.18,7.194,6.175,9.51285,66.758,17.403,195.252,193.289,14.773,159.515,234.505,170,169,51.81253,4.03494,2.247,0,0,23,1,,,,,
122,74.041,73.2,67,2.196,8.719,87.5,4.347,5.166,7.548,13.04,9.11508,109.983,12.212,158.689,164.768,12.981,146.445,211.442,1431,1427,60.70749,4.74289,10.656,1,0.178,23,1,,,,,
250.2,122.824,115.6,163.4,3.469,13.513,127.3,5.263,8.771,16.779,15.789,9.01302,121.982,11.384,201.997,203.471,10.853,182.713,220.23,94,92,49.10018,3.19794,0,0,0,23,1,,,,,
350.9,166.927,171.5,153.9,5.145,9.112,104,3.102,4.927,12.823,9.307,8.56907,236.831,10.653,211.887,208.44,11.499,182.821,225.162,117,114,47.57233,3.79996,18.182,1,13.318,23,1,,,,,
247,126.412,135.8,134.1,4.075,10.696,125.6,5.262,7.076,9.199,15.787,8.97708,152.955,11.987,195.952,195.222,4.692,186.593,202.812,74,73,51.17622,1.87458,23.214,0,0,23,1,,,,,
158.3,82.305,76.8,86.4,2.303,9.057,107,3.794,5.158,7.67,11.381,9.35717,78.695,13.705,195.535,192.316,7.512,177.299,200.638,85,84,51.99229,2.45254,4.348,0,0,23,1,,,,,
192,98.625,92.6,103.1,2.777,10.184,110.8,3.65,4.611,7.127,10.951,8.98598,147.518,12.4,196.745,194.284,5.979,181.465,201.921,71,70,51.37138,2.14895,33.929,0,0,23,1,,,,,
225.7,119.196,123.9,153,3.716,8.044,87.7,3.449,4.239,7.654,10.346,8.77616,217.236,12.831,191.345,185.423,21.878,86.139,210.523,107,104,52.82166,3.4787,15.152,2,9.81,23,1,,,,,
159.4,85.04,85,95.1,2.55,7.2,82.3,2.48,3.826,9.228,7.44,9.17596,112.336,14.039,190.838,187.775,10.087,166.895,203.133,113,112,53.35094,3.32135,0,0,0,23,1,,,,,
228.6,122.261,108.1,125.7,3.243,8.994,93.8,3.386,5.646,11.253,10.157,8.81269,168.753,11.084,192.349,188.506,10.386,167.436,202.273,95,93,53.48273,3.74082,21.212,1,7.819,23,1,,,,,
172.8,92.615,80.7,105.6,2.422,9.779,98.4,4.1,6.374,9.107,12.299,8.90381,152.535,11.97,189.213,186.832,11.257,162.412,201.261,97,95,53.60312,3.65944,7.143,1,8.449,23,1,,,,,
210.5,109.648,90.2,107.6,2.707,6.163,71.8,2.403,3.163,5.009,7.208,8.86134,188.092,14.644,193.824,192.37,7.748,171.394,217.449,107,104,52.07794,6.46434,0,0,0,23,1,,,,,
334.3,164.283,134.9,182.6,4.047,12.619,131.6,5.287,7.67,15.858,15.862,7.67751,401.774,6.754,208.781,204.866,21.351,156.807,239.789,205,200,49.13954,6.15819,35.849,3,29.424,23,1,,,,,
202.5,99.298,102.8,125.1,3.084,11.047,124.4,4.223,5.973,12.467,12.67,8.91718,151.406,11.866,204,204.431,17.543,154.02,231.704,249,247,49.04438,4.6058,18.543,1,19.702,23,1,,,,,
